gender,category,image,brand,description,price,discount,url,rating,reviews
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15339558/2021/10/13/78c140b2-1e8e-49ba-8e88-a549da2b9cd31634118392837-Nautica-Men-Tshirts-701634118392267-1.jpg",HRX by Hrithik Roshan,Rapid Dry Training T-shirt,Rs. 599,(Rs. 500 OFF),https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-white-rapid-dry-camo-training-t-shirt/5842076/buy,4,8 Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/5842076/2018/12/20/353cd269-5498-4aa9-a6ca-c503fcd2f2c61545286560719-HRX-by-Hrithik-Roshan-Men-White-Rapid-Dry-Camo-Training-T-sh-1.jpg",Roadster,Men Striped Round Neck T-shirt,Rs. 319,(60% OFF),https://www.myntra.com/tshirts/roadster/roadster-men-maroon--charcoal-grey-striped-pure-cotton-round-neck-t-shirt/1697714/buy,4.2,3.7k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1697714/2019/6/12/df4093ea-a093-4e5c-a432-4c673de8b8dc1560344749151-Roadster-Men-Maroon--Navy-Blue-Striped-Round-Neck-T-shirt-36-5.jpg",Campus Sutra,Printed Round Neck T-shirt,Rs. 379,(62% OFF),https://www.myntra.com/tshirts/campus-sutra/campus-sutra-men-grey-printed-round-neck-t-shirt/10017085/buy,4,5.3k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10017085/2019/6/20/2be736d5-66cb-43a2-8208-5cea2ee1e0711561027340024-Campus-Sutra-Graphic-Print-Men-Round-Neck-Grey-T-Shirt-43715-1.jpg",DILLINGER,Striped Round Neck T-shirt,Rs. 491,(59% OFF),https://www.myntra.com/tshirts/dillinger/dillinger-men-olive-green--black-striped-round-neck-t-shirt/11067722/buy,4.1,3.8k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11067722/2019/12/10/1290831c-0862-4b6a-8eee-41a6cad1b1e01575972511857-DILLINGER-Men-Tshirts-3141575972509288-1.jpg",Roadster,Men Striped T-shirt,Rs. 599,(Rs. 800 OFF),https://www.myntra.com/tshirts/roadster/roadster-men-maroon--navy-blue-striped-polo-collar-t-shirt/10422940/buy,4.3,2k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10422940/2019/11/29/ef39aef8-c760-4b53-8af9-f9aa4ed53c8f1575029034697-Roadster-Men-Maroon-Striped-Polo-Collar-T-shirt-878157502903-1.jpg",Levis,Solid Lounge T-shirt,Rs. 424,(15% OFF),https://www.myntra.com/lounge-tshirts/levis/levis-men-black-solid-pure-cotton-round-neck--lounge-t-shirt/12027432/buy,4.2,1.7k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12027432/2020/7/30/0832b619-7929-46d4-a18a-9d83c5eae1731596099244246-Levis-Mens-Ultra-Soft-Cotton-300-LS-Classic-Round-Neck-T-Shi-1.jpg",Nautica,Solid Polo Collar T-shirt,Rs. 1819,(30% OFF),https://www.myntra.com/tshirts/nautica/nautica-men-black-solid-polo-collar-t-shirt/12429624/buy,4.4,671 Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12429624/2020/10/12/fccb0d06-479c-4943-bcce-57043e6aa9c71602507646394LevisMensUltra-SoftCotton300LSClassicRoundNeckT-ShirtPackof11.jpg",HERE&NOW,Pure Cotton Printed T-shirt,Rs. 279,(60% OFF),https://www.myntra.com/tshirts/herenow/herenow-men-maroon--black-pure-cotton-printed-round-neck-t-shirt/12816880/buy,4.4,50 Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12816880/2021/1/11/c8a64c9f-bc24-4641-94ba-2e195d8e19c41610361020182-HERENOW-Men-Tshirts-8571610361018303-1.jpg",Roadster,Solid Round Neck T-shirt,Rs. 219,(45% OFF),https://www.myntra.com/tshirts/roadster/roadster-men-maroon-solid-round-neck-t-shirt/3314141/buy,4.3,1.3k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/3314141/2018/5/19/e55c2244-8515-44d5-93da-d719f3f8d4551526706357637-Roadster-Men-Tshirts-6461526706356615-1.jpg",HRX by Hrithik Roshan,Solid Round Neck T-shirt,Rs. 314,(65% OFF),https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-white-solid-round-neck-t-shirt/6555071/buy,4.1,6.6k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/6555071/2018/8/17/bf9c0b36-b7d5-4e0f-be94-80dc44e8fc701534485716145-HRX-by-Hrithik-Roshan-Men-Tshirts-8941534485715943-1.jpg",DILLINGER,Solid Round Neck T-shirt,Rs. 491,(59% OFF),https://www.myntra.com/tshirts/dillinger/dillinger-men-mustard-yellow-solid-round-neck-t-shirt/11068030/buy,4.1,7.2k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11068030/2019/12/10/019e578c-57a6-476c-b0d9-f67b3ff88e5a1575972630532-DILLINGER-Men-Tshirts-6491575972628926-1.jpg",HERE&NOW,Colourblocked Round Neck T-shirt,Rs. 359,(60% OFF),https://www.myntra.com/tshirts/herenow/herenow-men-black--green-colourblocked-round-neck-t-shirt/11748138/buy,4.2,3.6k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11748138/2020/7/7/ed812099-7062-4cc3-8046-0b2ba192eb0d1594122118061-HERENOW-Men-Tshirts-611594122116094-1.jpg",Calvin Klein Jeans,Men Brand Logo Printed Slim Fit T-shirt,,0,https://www.myntra.com/tshirts/calvin-klein-jeans/calvin-klein-jeans-men-blue-brand-logo-printed-slim-fit-t-shirt/14591182/buy,4.2,1.2k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14591182/2021/9/29/72907707-ba26-453a-ae5a-c1c3140c9bbf1632912759395-Calvin-Klein-Jeans-Men-Tshirts-9911632912758879-1.jpg",DILLINGER,Striped Round Neck T-shirt,Rs. 491,(59% OFF),https://www.myntra.com/tshirts/dillinger/dillinger-men-grey--black-striped-round-neck-t-shirt/11068036/buy,4.4,22 Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11068036/2019/12/10/1c5df04b-f2bc-4e72-9497-90b7167db9d41575972644446-DILLINGER-Men-Tshirts-3521575972642178-1.jpg",Roadster,Striped Henley Collar T-shirt,Rs. 494,(45% OFF),https://www.myntra.com/tshirts/roadster/roadster-men-blue--white-striped-henley-collar-t-shirt/10941002/buy,4.3,707 Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10941002/2020/2/6/c6f383b5-a33c-43af-a202-8ed014ff5a711580978536812-Roadster-Men-Blue--White-Striped-Mandarin-Collar-T-shirt-346-1.jpg",HERE&NOW,Printed Round Neck T-shirt,Rs. 209,(70% OFF),https://www.myntra.com/tshirts/herenow/herenow-men-olive-green-printed-round-neck-t-shirt/12816870/buy,4.2,2.2k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12816870/2021/1/13/63d54c29-a1ee-41fe-ac21-12a3debedae91610535899145-HERENOW-Men-Tshirts-5841610535897035-1.jpg",Moda Rapido,Printed Round Neck T-shirt,Rs. 314,(65% OFF),https://www.myntra.com/tshirts/moda-rapido/moda-rapido-men-white-printed-round-neck-t-shirt/2221324/buy,4.1,346 Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2221324/2017/11/23/11511442589002-Moda-Rapido-Men-White-Printed-Round-Neck-T-shirt-9601511442588767-1.jpg",Roadster,Solid Round Neck T-shirt,Rs. 199,(50% OFF),https://www.myntra.com/tshirts/roadster/roadster-men-green-solid-round-neck-t-shirt/2275369/buy,4.1,3.6k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2275369/2018/1/24/11516793398088-Roadster-Men-Green-Solid-Round-Neck-T-shirt-3761516793397918-1.jpg",HRX by Hrithik Roshan,Men Solid Round Neck T-shirt,Rs. 404,(55% OFF),https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-fluorescent-green-solid-round-neck-running-t-shirt/7231694/buy,4.2,1.7k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7231694/2019/2/8/6b595914-1c66-4d0a-a542-9a2134ae6f391549618643915-HRX-by-Hrithik-Roshan-Men-Fluorescent-Green-Solid-Round-Neck-1.jpg",Nautica,Men SlimFit Cotton Polo Tshirt,Rs. 2469,(5% OFF),https://www.myntra.com/tshirts/nautica/nautica-men-blue-solid-slim-fit-pure-cotton-polo-collar-t-shirt/15339998/buy,4.1,6.8k Verified Buyers
M,men-tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15339998/2021/9/26/c6d4dfa3-f0d7-4293-b541-42d670a7dee41632642154748-Nautica-Men-Tshirts-9331632642154161-1.jpg",Roadster,Striped Round Neck T-shirt,Rs. 449,(55% OFF),https://www.myntra.com/tshirts/roadster/roadster-men-white--navy-blue-striped-round-neck-t-shirt/7196161/buy,4.6,26 Verified Buyers
