gender,category,image,brand,description,price,discount,url,rating,reviews
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11056154/2019/12/5/30b0017d-7e72-4d40-9633-ef78d01719741575541717470-AHIKA-Women-Black--Green-Printed-Straight-Kurta-990157554171-1.jpg",GoSriKi,Kurta with Trousers & Dupatta,Rs. 1078,(Rs. 2918 OFF),https://www.myntra.com/kurta-sets/gosriki/gosriki-women-pink-printed-regular-pure-cotton-kurta-with-trousers--with-dupatta/15244796/buy,4,12.5k Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15244796/2021/8/24/b77e833c-d3b0-41e0-a68e-d5b874552e361629819822304GoSriKiWomenPinkFoilPrintedKurtawithTrousersDupatta1.jpg",mokshi,Striped Kurta with Trousers,Rs. 944,(Rs. 1755 OFF),https://www.myntra.com/kurta-sets/mokshi/mokshi-women-navy-blue--golden-striped-kurta-with-trousers/13451930/buy,3.7,1.4k Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13451930/2021/2/2/30e876e8-3703-4d27-a77a-949cf8aa73361612243834859JeggingsHubberholmeWomenJeggingsHubberholmeWomenJeggingsHubb1.jpg",InWeave,Ethnic Motifs Viscose Rayon Kurta Set,Rs. 3833,(Rs. 1566 OFF),https://www.myntra.com/kurta-sets/inweave/inweave-ethnic-motifs-viscose-rayon-kurta-set/15448026/buy,4.3,1.9k Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15448026/2021/9/18/4866fa66-ade1-410b-a6c5-b89109a6ea481631939706899-DENIM-BLUE-CHIKANKARI-SHARARA-AND-KURTA-SET-6391631939706463-2.jpg",Varanga,Chanderi Yoke Design Kurta Set,Rs. 2339,(Rs. 3660 OFF),https://www.myntra.com/kurta-sets/varanga/varanga-women-mauve-zari-yoke-design-chanderi-silk-kurta-with-trousers--dupatta/12541372/buy,3.7,50 Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12541372/2020/11/6/da18ab22-79a1-46f0-a0cf-58c313fe98881604665115144VarangaWomenMauveZariYokeDesignChanderiSilkKurtawithTrousers1.jpg",Anubhutee,Women Kurta Set with Dupatta,Rs. 1331,(Rs. 2268 OFF),https://www.myntra.com/kurta-sets/anubhutee/anubhutee-women-navy-blue-ethnic-motifs-panelled-kurta-with-trousers--dupatta/15649434/buy,4.3,1.6k Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15649434/2021/9/28/76410e4b-5aee-488e-ac3d-c4d6042fdd3d1632825929628AnubhuteeWomenNavyBlueEthnicMotifsPanelledKurtiwithChuridarW1.jpg",Libas,Printed Kurta Set & Dupatta,Rs. 1499,(Rs. 1000 OFF),https://www.myntra.com/kurta-sets/libas/libas-women-blue--off-white-printed-kurta-with-palazzos--dupatta/11917522/buy,3.6,90 Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11917522/2020/6/15/c7fc5fb0-6bb6-4fe1-a5ae-ae30d33153f21592198433929KurtasGERUAWomenDressesGERUAWomenKurtasGERUAWomenDressesGERU1.jpg",Popnetic,Women Printed Straight Kurta,Rs. 489,(Rs. 910 OFF),https://www.myntra.com/kurtas/popnetic/popnetic-women-green--golden-printed-straight-kurta/11066882/buy,4.4,2.8k Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11066882/2020/1/13/7c708a55-fcee-45a4-901d-da0dffa5cb491578911582522-Popnetic-Women-Green--Golden-Printed-Straight-Kurta-71015789-1.jpg",AHIKA,Printed Kurta with Trousers & Dupatta,Rs. 1386,(Rs. 2362 OFF),https://www.myntra.com/kurta-sets/ahika/ahika-women-peach-coloured--green-printed-pure-cotton-kurta-with-trousers--dupatta/14038090/buy,3.9,6.5k Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14038090/2021/4/20/15b1dd9c-b370-468d-a08d-588fa254a0011618917103852KurtaSetsAHIKAWomenKurtaSetsAHIKAWomenKurtaSetsAHIKAWomenKur1.jpg",Anubhutee,Women Printed Kurta Sets,Rs. 1279,(Rs. 1920 OFF),https://www.myntra.com/kurta-sets/anubhutee/anubhutee-women-pink-ethnic-motifs-printed-pure-cotton-kurta-with-palazzos--dupatta/14823542/buy,4.4,810 Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14823542/2021/7/14/51ebfb03-a720-4a32-8dfe-b8db311677731626261276443AnubhuteeWomenPinkPrintedPureCottonKurtawithPalazzosWithDupa1.jpg",Myshka,Kurta with Palazzos & Dupatta,Rs. 1349,(Rs. 1650 OFF),https://www.myntra.com/kurta-sets/myshka/myshka-women-black-regular-pure-cotton-kurta-with-palazzos--with-dupatta/15828674/buy,4,1.1k Verified Buyers
