,name,rating,no_of_reviews,img_links
81,Amazon Brand - Symbol Men's Solid Regular Fit Half Sleeve Cotton T-Shirt (Combo Pack of 3),3.7 out of 5,696 ratings,https://images-na.ssl-images-amazon.com/images/I/81tYPYaqCZL._UY550_.jpg
82,AMERICAN CREW Men's Polo Collar Half Sleeve T-Shirt,3.8 out of 5,"3,596 ratings",https://images-na.ssl-images-amazon.com/images/I/31Gg81CQrBL.jpg
83,Levi's Men's Regular fit T-Shirt,3.7 out of 5,10 ratings,https://images-na.ssl-images-amazon.com/images/I/71DUmecQDnL._UY550_.jpg
84,Amazon Brand - Symbol Men's Solid Regular Fit T-Shirt (SYMSTSTTPO2-8_ Multicolor-8 M),,3 ratings,https://images-na.ssl-images-amazon.com/images/I/81ofhjWUbWL._UY550_.jpg
85,AWG - All Weather Gear Men's Regular Fit T-Shirt (Pack of 2),3.5 out of 5,110 ratings,https://images-na.ssl-images-amazon.com/images/I/71mFWNj85JL._UX466_.jpg
86,Adidas Men's Regular fit T-Shirt,4 out of 5,1 rating,https://images-na.ssl-images-amazon.com/images/I/61AVGgi1KdL._UX522_.jpg
87,US Polo Association Men's Solid Regular fit T-Shirt,4 out of 5,7 ratings,https://images-na.ssl-images-amazon.com/images/I/81kgcAQgqGL._UY550_.jpg
88,Veirdo Men's Regular Fit T-Shirt,4.5 out of 5,21 ratings,https://images-na.ssl-images-amazon.com/images/I/71Hd5dmHXSL._UY550_.jpg
89,STYLENSE Men's Regular Fit T-Shirt,3.5 out of 5,142 ratings,https://images-na.ssl-images-amazon.com/images/I/61XHhzLuP1L._UY550_.jpg
90,Allen Solly Men's Polo,4.1 out of 5,"9,432 ratings",https://images-na.ssl-images-amazon.com/images/I/91hRq93XbGL._UY550_.jpg
91,Elements by Peter England Men's Slim fit T-Shirt,3 out of 5,1 rating,https://images-na.ssl-images-amazon.com/images/I/91r68d31oKL._UY550_.jpg
92,AWG - All Weather Gear Men's Regular fit T-Shirt (Pack of 2),3.4 out of 5,853 ratings,https://images-na.ssl-images-amazon.com/images/I/61yD6vMsIhL._UX466_.jpg
93,Reebok Men's Slim fit T-Shirt,4 out of 5,2 ratings,https://images-na.ssl-images-amazon.com/images/I/71vpQwekVSL._UY550_.jpg
94,AWG - All Weather Gear Men's Regular Fit T-Shirt (Pack of 2),3.4 out of 5,47 ratings,https://images-na.ssl-images-amazon.com/images/I/71FCQCqeASL._UX466_.jpg
95,Wrangler Men's Solid Regular Fit T-Shirt,4 out of 5,1 rating,https://images-na.ssl-images-amazon.com/images/I/819msbHGiNL._UY550_.jpg
96,CottonTee Men's & Women's Regular Fit T-Shirt,3.7 out of 5,66 ratings,https://images-na.ssl-images-amazon.com/images/I/41u79luzD4L.jpg
97,United Colors of Benetton Men's Printed Regular fit T-Shirt,3.4 out of 5,49 ratings,https://images-na.ssl-images-amazon.com/images/I/81au4KOGKIL._UY550_.jpg
98,US Polo Association Men's Regular Fit T-Shirt,4 out of 5,12 ratings,https://images-na.ssl-images-amazon.com/images/I/81BPjok0MUL._UY550_.jpg
99,Fashion Gallery Full Sleeves Mens T-Shirts|Mens Regular Fit Cotton T-Shirt|T-Shirts for Mens,5 out of 5,2 ratings,https://images-na.ssl-images-amazon.com/images/I/41-TVp6pBeL.jpg
100,US Polo Association Men's Solid Regular Fit T-Shirt (I633-001-PL_White_Small),,37 ratings,https://images-na.ssl-images-amazon.com/images/I/814qtDhF22L._UY550_.jpg
101,Spunk by FBB Boys' T-Shirt,3 out of 5,2 ratings,https://images-na.ssl-images-amazon.com/images/I/71yVr8HWQaL._UX425_.jpg
102,Wrangler Men's Regular fit T-Shirt,5 out of 5,1 rating,https://images-na.ssl-images-amazon.com/images/I/91%2B8boW3SsL._UY550_.jpg
103,Seven Rocks Men's Regular Fit T-Shirt,3.7 out of 5,537 ratings,https://images-na.ssl-images-amazon.com/images/I/61g1AkKV2dL._UY550_.jpg
104,Black Collection Men's Plain Slim Fit Half Sleeves T-Shirt,3.7 out of 5,817 ratings,https://images-na.ssl-images-amazon.com/images/I/61-ERov8rFL._UX466_.jpg
105,Van Heusen Athleisure Men's Solid Regular Fit T-Shirt,4.2 out of 5,604 ratings,https://images-na.ssl-images-amazon.com/images/I/61xMtHd0YLL._UY550_.jpg
