,Brand,Description,Reviews,Discount,Category,Rating,Links
33,Allen Solly,Men's Regular Fit T-Shirt,948,Save ₹260 (37%),Tshirts,4.5138944832607235,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
34,ADRO,Men's Regular Fit T-Shirt,"1,525","Save ₹1,200 (67%)",Tshirts,4.338513496784693,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
35,Van Heusen Athleisure,Men's Solid Regular Fit T-Shirt,"2,941",Save ₹30 (5%),Tshirts,3.847071644658447,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
36,Van Heusen Athleisure,Men's Regular fit T-Shirt,"1,958","1,958",Tshirts,4.761309509132968,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
37,Van Heusen,Men's Regular T-Shirt,509,Save ₹252 (36%),Tshirts,3.061403208104588,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
38,US Polo Association,Men's Slim T-Shirt,18,Save ₹754 (40%),Tshirts,3.3520217837307773,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
39,Puma,Men's Regular fit T-Shirt,25,Save ₹754 (58%),Tshirts,3.7068488878952,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
40,Van Heusen,Men Polo Shirt,26,Save ₹500 (42%),Tshirts,3.2949739320930913,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
41,Wear Your Opinion,WYO Men's Tshirt with Camouflage Style |Half Sleeve Tshirt |All Over Print |Military Army Stylist Tshirt,"1,779","Save ₹1,600 (80%)",Tshirts,4.352320407310223,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
42,Amazon Brand - Symbol,Men's Regular Fit T-Shirt,642,Save ₹898 (64%),Tshirts,4.039289827370946,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
43,Van Heusen Athleisure,Men's Solid Regular fit Polo,694,Save ₹109 (10%),Tshirts,4.294418285714029,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
44,Veirdo,Men's Cotton Regular Fit Color Blocked Sleeveless T-Shirt,398,Save ₹700 (70%),Tshirts,3.975165799538005,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
45,Veirdo,Men's Cotton Half Sleeve Printed Polo T-Shirt,319,Save ₹800 (67%),Tshirts,3.6126050395165397,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
46,Jockey,Men's Classic Fit T-Shirt,935,935,Tshirts,4.29509783129923,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
47,Van Heusen Athleisure,Men T-Shirt,"1,000","1,000",Tshirts,4.667138522007617,https://m.media-amazon.com/images/I/71RetUFMo7L._AC_UL320_.jpg
48,Amazon Brand - Inkast Denim Co.,Men's Solid Regular Fit Polo,"5,148","Save ₹1,390 (66%)",Shirts,4.513464112517656,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
49,Dennis Lingo,Men's Regular Fit T-Shirt,"1,359","Save ₹1,850 (74%)",Shirts,4.047940229610852,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
50,Dennis Lingo,Men's Polo,"9,216","Save ₹1,280 (69%)",Shirts,3.1187896421369476,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
51,Dennis Lingo,Men's Regular fit T-Shirt,"9,628","Save ₹1,300 (70%)",Shirts,4.698619415841865,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
52,Amazon Brand - Inkast Denim Co.,"Men's Cotton Full Sleeve T Shirt-(Amt1125-N,Olive)","1,477","Save ₹1,140 (67%)",Shirts,4.140870807772133,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
53,Amazon Brand - Inkast Denim Co.,Men's Regular Fit Polo,65,"Save ₹1,440 (72%)",Shirts,3.568033588122138,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
54,Dennis Lingo,Men's Cotton T-Shirt,942,"Save ₹1,850 (74%)",Shirts,4.354767453670263,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
55,Dennis Lingo,Men's Plain Regular Fit Polo,421,"Save ₹1,750 (70%)",Shirts,3.8755289958136494,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
56,IndoPrimo,Men's Solid Regular fit T-Shirt,106,"Save ₹1,300 (65%)",Shirts,4.162550051558851,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
57,Amazon Brand - Symbol,Men's Tank Top,122,Save ₹970 (69%),Shirts,3.8828433422199886,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
58,US Polo Association,Men's Slim Polo,42,"Save ₹1,690 (65%)",Shirts,4.473205393007207,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
59,Dennis Lingo,Mens Short Sleeves V Neck Slim Fit Solid T-Shirt,627,"Save ₹1,541 (67%)",Shirts,4.4853824281650505,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
60,Dennis Lingo,Men's Regular T-Shirt,242,"Save ₹1,850 (74%)",Shirts,4.962846332593155,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
61,HammerSmith,Men's Cotton T-Shirt,134,"Save ₹1,020 (68%)",Shirts,4.66513918675637,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
62,Dennis Lingo,Men's Solid Regular Fit Polo,"1,656","Save ₹1,850 (74%)",Shirts,3.2463226943544905,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
63,Dennis Lingo,Men's High and Turtle Neck Cotton T-Shirt,"1,611","Save ₹1,700 (68%)",Shirts,4.645660586710806,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
64,Pepe Jeans,Men's Solid Regular Fit Polo,1,"Save ₹1,500 (50%)",Shirts,3.611779600200089,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
65,Lee Cooper,Men's Regular fit T-Shirt,2,"Save ₹1,539 (70%)",Shirts,4.760885233967979,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
66,Van Heusen Sport,Men's Regular Fit Polos,190,Save ₹690 (46%),Shirts,3.4078573762639373,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
67,Campus Sutra,Men's Regular T-Shirt,"2,553",Save ₹840 (56%),Shirts,4.178784661498195,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
68,As Fashion,Men's Solid Regular T-Shirt (VSKCURGBU51718_Multicolor XL),3,"Save ₹2,500 (83%)",Shirts,4.790188220012414,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
69,Amazon Brand - Symbol,Men's Solid Regular Polo Shirt (AW17MPCP6_Pomegranate 3XL),"3,039",Save ₹940 (67%),Shirts,3.893004839496236,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
70,Amazon Brand - House & Shields,Men's Solid Regular Fit Half Sleeve Cotton T-Shirt (Combo Pack of 3) (AW17PLPO3-6_M_Multicolor6),199,"Save ₹1,170 (65%)",Shirts,3.681280074199255,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
71,Levi's,Men's Cotton Half Sleeve Regular Fit Polo,40,Save ₹848 (39%),Shirts,3.418835428476413,https://m.media-amazon.com/images/I/81owcHdAo5L._AC_UL320_.jpg
