,Brand,Description,Reviews,Discount,Category,Rating,Links,Products Url,Price
10,GoSriKi,Women's Cotton Regular Kurta with Pant,"1,331","Save ₹2,200 (85%)",Kurtas,4.929177876275933,https://m.media-amazon.com/images/I/61jAAYGw6hS._AC_UL320_.jpg,https://www.amazon.in/GoSriKi-Straight-Checkered-DISINI-Multi_XXL_Green_XX-Large/dp/B08DD44B83/ref=sr_1_1?pf_rd_i=1953602031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=1fc3f880-fe37-4c3c-9c12-2dbafbff3dec&pf_rd_r=CGWS5HZNPPDW0ZVQNSGC&pf_rd_s=merchandised-search-11&qid=1636355414&qsid=262-7914952-5438928&refinements=p_36%3A-39900&rnid=4595083031&s=apparel&sr=1-1&sres=B08DD44B83%2CB083DXS9KZ%2CB08VW6Y53G%2CB08SJLSYTP%2CB083JH6Q9D%2CB08HB1FHQF%2CB08QYSKH11%2CB08N4TXWX3%2CB08GSRWTGN%2CB09BNTM37Q%2CB08XLKTFHZ%2CB07Z5ZSDF9%2CB081S715F2%2CB0993C5LCC%2CB085ZVDF48%2CB083CYKHGP%2CB07S6BH1HR%2CB08H9XKC31%2CB07N8J22NW%2CB08GWZT6TR,399
11,GoSriKi,Women's Multicolor Printed Straight Kurta Pack of 02,"4,108","Save ₹3,700 (93%)",Kurtas,3.56276028529551,https://m.media-amazon.com/images/I/61jAAYGw6hS._AC_UL320_.jpg,https://www.amazon.in/GoSriKi-Straight-Checkered-DISINI-Multi_XXL_Green_XX-Large/dp/B08DD44B83/ref=sr_1_1?pf_rd_i=1953602031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=1fc3f880-fe37-4c3c-9c12-2dbafbff3dec&pf_rd_r=CGWS5HZNPPDW0ZVQNSGC&pf_rd_s=merchandised-search-11&qid=1636355414&qsid=262-7914952-5438928&refinements=p_36%3A-39900&rnid=4595083031&s=apparel&sr=1-1&sres=B08DD44B83%2CB083DXS9KZ%2CB08VW6Y53G%2CB08SJLSYTP%2CB083JH6Q9D%2CB08HB1FHQF%2CB08QYSKH11%2CB08N4TXWX3%2CB08GSRWTGN%2CB09BNTM37Q%2CB08XLKTFHZ%2CB07Z5ZSDF9%2CB081S715F2%2CB0993C5LCC%2CB085ZVDF48%2CB083CYKHGP%2CB07S6BH1HR%2CB08H9XKC31%2CB07N8J22NW%2CB08GWZT6TR,399
12,Vaamsi,Crepe Printed Kurti(VPK1762_Green_Free Size),"4,314",Save ₹720 (72%),Kurtas,4.951272159272794,https://m.media-amazon.com/images/I/61jAAYGw6hS._AC_UL320_.jpg,https://www.amazon.in/GoSriKi-Straight-Checkered-DISINI-Multi_XXL_Green_XX-Large/dp/B08DD44B83/ref=sr_1_1?pf_rd_i=1953602031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=1fc3f880-fe37-4c3c-9c12-2dbafbff3dec&pf_rd_r=CGWS5HZNPPDW0ZVQNSGC&pf_rd_s=merchandised-search-11&qid=1636355414&qsid=262-7914952-5438928&refinements=p_36%3A-39900&rnid=4595083031&s=apparel&sr=1-1&sres=B08DD44B83%2CB083DXS9KZ%2CB08VW6Y53G%2CB08SJLSYTP%2CB083JH6Q9D%2CB08HB1FHQF%2CB08QYSKH11%2CB08N4TXWX3%2CB08GSRWTGN%2CB09BNTM37Q%2CB08XLKTFHZ%2CB07Z5ZSDF9%2CB081S715F2%2CB0993C5LCC%2CB085ZVDF48%2CB083CYKHGP%2CB07S6BH1HR%2CB08H9XKC31%2CB07N8J22NW%2CB08GWZT6TR,399
13,Amayra,Women's Cotton Printed Straight Kurti (White),200,0,Kurtas,4.082606810335841,https://m.media-amazon.com/images/I/61jAAYGw6hS._AC_UL320_.jpg,https://www.amazon.in/GoSriKi-Straight-Checkered-DISINI-Multi_XXL_Green_XX-Large/dp/B08DD44B83/ref=sr_1_1?pf_rd_i=1953602031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=1fc3f880-fe37-4c3c-9c12-2dbafbff3dec&pf_rd_r=CGWS5HZNPPDW0ZVQNSGC&pf_rd_s=merchandised-search-11&qid=1636355414&qsid=262-7914952-5438928&refinements=p_36%3A-39900&rnid=4595083031&s=apparel&sr=1-1&sres=B08DD44B83%2CB083DXS9KZ%2CB08VW6Y53G%2CB08SJLSYTP%2CB083JH6Q9D%2CB08HB1FHQF%2CB08QYSKH11%2CB08N4TXWX3%2CB08GSRWTGN%2CB09BNTM37Q%2CB08XLKTFHZ%2CB07Z5ZSDF9%2CB081S715F2%2CB0993C5LCC%2CB085ZVDF48%2CB083CYKHGP%2CB07S6BH1HR%2CB08H9XKC31%2CB07N8J22NW%2CB08GWZT6TR,399
14,Varchit,Women's Cotton A-Line Kurta,"2,612",0,Kurtas,3.5595721865417187,https://m.media-amazon.com/images/I/61jAAYGw6hS._AC_UL320_.jpg,https://www.amazon.in/GoSriKi-Straight-Checkered-DISINI-Multi_XXL_Green_XX-Large/dp/B08DD44B83/ref=sr_1_1?pf_rd_i=1953602031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=1fc3f880-fe37-4c3c-9c12-2dbafbff3dec&pf_rd_r=CGWS5HZNPPDW0ZVQNSGC&pf_rd_s=merchandised-search-11&qid=1636355414&qsid=262-7914952-5438928&refinements=p_36%3A-39900&rnid=4595083031&s=apparel&sr=1-1&sres=B08DD44B83%2CB083DXS9KZ%2CB08VW6Y53G%2CB08SJLSYTP%2CB083JH6Q9D%2CB08HB1FHQF%2CB08QYSKH11%2CB08N4TXWX3%2CB08GSRWTGN%2CB09BNTM37Q%2CB08XLKTFHZ%2CB07Z5ZSDF9%2CB081S715F2%2CB0993C5LCC%2CB085ZVDF48%2CB083CYKHGP%2CB07S6BH1HR%2CB08H9XKC31%2CB07N8J22NW%2CB08GWZT6TR,399
15,Vaamsi,Crepe Printed Kurti(VPK1797_Red_L),930,Save ₹720 (72%),Kurtas,4.904924039368696,https://m.media-amazon.com/images/I/61jAAYGw6hS._AC_UL320_.jpg,https://www.amazon.in/GoSriKi-Straight-Checkered-DISINI-Multi_XXL_Green_XX-Large/dp/B08DD44B83/ref=sr_1_1?pf_rd_i=1953602031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=1fc3f880-fe37-4c3c-9c12-2dbafbff3dec&pf_rd_r=CGWS5HZNPPDW0ZVQNSGC&pf_rd_s=merchandised-search-11&qid=1636355414&qsid=262-7914952-5438928&refinements=p_36%3A-39900&rnid=4595083031&s=apparel&sr=1-1&sres=B08DD44B83%2CB083DXS9KZ%2CB08VW6Y53G%2CB08SJLSYTP%2CB083JH6Q9D%2CB08HB1FHQF%2CB08QYSKH11%2CB08N4TXWX3%2CB08GSRWTGN%2CB09BNTM37Q%2CB08XLKTFHZ%2CB07Z5ZSDF9%2CB081S715F2%2CB0993C5LCC%2CB085ZVDF48%2CB083CYKHGP%2CB07S6BH1HR%2CB08H9XKC31%2CB07N8J22NW%2CB08GWZT6TR,399
16,Vaamsi,Women's A-Line Kurta,"17,267",Save ₹720 (72%),Kurtas,3.1531475154430266,https://m.media-amazon.com/images/I/61jAAYGw6hS._AC_UL320_.jpg,https://www.amazon.in/GoSriKi-Straight-Checkered-DISINI-Multi_XXL_Green_XX-Large/dp/B08DD44B83/ref=sr_1_1?pf_rd_i=1953602031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=1fc3f880-fe37-4c3c-9c12-2dbafbff3dec&pf_rd_r=CGWS5HZNPPDW0ZVQNSGC&pf_rd_s=merchandised-search-11&qid=1636355414&qsid=262-7914952-5438928&refinements=p_36%3A-39900&rnid=4595083031&s=apparel&sr=1-1&sres=B08DD44B83%2CB083DXS9KZ%2CB08VW6Y53G%2CB08SJLSYTP%2CB083JH6Q9D%2CB08HB1FHQF%2CB08QYSKH11%2CB08N4TXWX3%2CB08GSRWTGN%2CB09BNTM37Q%2CB08XLKTFHZ%2CB07Z5ZSDF9%2CB081S715F2%2CB0993C5LCC%2CB085ZVDF48%2CB083CYKHGP%2CB07S6BH1HR%2CB08H9XKC31%2CB07N8J22NW%2CB08GWZT6TR,399
17,GoSriKi,Women's Straight Kurta,"1,314","Save ₹2,200 (85%)",Kurtas,4.595495569638496,https://m.media-amazon.com/images/I/61jAAYGw6hS._AC_UL320_.jpg,https://www.amazon.in/GoSriKi-Straight-Checkered-DISINI-Multi_XXL_Green_XX-Large/dp/B08DD44B83/ref=sr_1_1?pf_rd_i=1953602031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=1fc3f880-fe37-4c3c-9c12-2dbafbff3dec&pf_rd_r=CGWS5HZNPPDW0ZVQNSGC&pf_rd_s=merchandised-search-11&qid=1636355414&qsid=262-7914952-5438928&refinements=p_36%3A-39900&rnid=4595083031&s=apparel&sr=1-1&sres=B08DD44B83%2CB083DXS9KZ%2CB08VW6Y53G%2CB08SJLSYTP%2CB083JH6Q9D%2CB08HB1FHQF%2CB08QYSKH11%2CB08N4TXWX3%2CB08GSRWTGN%2CB09BNTM37Q%2CB08XLKTFHZ%2CB07Z5ZSDF9%2CB081S715F2%2CB0993C5LCC%2CB085ZVDF48%2CB083CYKHGP%2CB07S6BH1HR%2CB08H9XKC31%2CB07N8J22NW%2CB08GWZT6TR,399
18,Vaamsi,Crepe Digital Printed Kurti(VPK1583_Yellow_XL),"3,163",Save ₹720 (72%),Kurtas,4.587368517152935,https://m.media-amazon.com/images/I/61jAAYGw6hS._AC_UL320_.jpg,https://www.amazon.in/GoSriKi-Straight-Checkered-DISINI-Multi_XXL_Green_XX-Large/dp/B08DD44B83/ref=sr_1_1?pf_rd_i=1953602031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=1fc3f880-fe37-4c3c-9c12-2dbafbff3dec&pf_rd_r=CGWS5HZNPPDW0ZVQNSGC&pf_rd_s=merchandised-search-11&qid=1636355414&qsid=262-7914952-5438928&refinements=p_36%3A-39900&rnid=4595083031&s=apparel&sr=1-1&sres=B08DD44B83%2CB083DXS9KZ%2CB08VW6Y53G%2CB08SJLSYTP%2CB083JH6Q9D%2CB08HB1FHQF%2CB08QYSKH11%2CB08N4TXWX3%2CB08GSRWTGN%2CB09BNTM37Q%2CB08XLKTFHZ%2CB07Z5ZSDF9%2CB081S715F2%2CB0993C5LCC%2CB085ZVDF48%2CB083CYKHGP%2CB07S6BH1HR%2CB08H9XKC31%2CB07N8J22NW%2CB08GWZT6TR,399
19,GoSriKi,Women's Multicolor Printed Straight Kurta Pack of 02(Pista-Kurta & GUL-Black),"1,156","Save ₹2,220 (85%)",Kurtas,4.076903174144455,https://m.media-amazon.com/images/I/61jAAYGw6hS._AC_UL320_.jpg,https://www.amazon.in/GoSriKi-Straight-Checkered-DISINI-Multi_XXL_Green_XX-Large/dp/B08DD44B83/ref=sr_1_1?pf_rd_i=1953602031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=1fc3f880-fe37-4c3c-9c12-2dbafbff3dec&pf_rd_r=CGWS5HZNPPDW0ZVQNSGC&pf_rd_s=merchandised-search-11&qid=1636355414&qsid=262-7914952-5438928&refinements=p_36%3A-39900&rnid=4595083031&s=apparel&sr=1-1&sres=B08DD44B83%2CB083DXS9KZ%2CB08VW6Y53G%2CB08SJLSYTP%2CB083JH6Q9D%2CB08HB1FHQF%2CB08QYSKH11%2CB08N4TXWX3%2CB08GSRWTGN%2CB09BNTM37Q%2CB08XLKTFHZ%2CB07Z5ZSDF9%2CB081S715F2%2CB0993C5LCC%2CB085ZVDF48%2CB083CYKHGP%2CB07S6BH1HR%2CB08H9XKC31%2CB07N8J22NW%2CB08GWZT6TR,399
